fare,cabin,embarked,home.dest,survived,pclass,name,sex,age,sibsp,parch,ticket
26.0,,S,"Moscow / Bronx, NY",1,2.0,"Kantor, Mrs. Sinai (Miriam Sternin)",female,24.0,1.0,0.0,244367
82.1708,,C,"New York, NY",0,1.0,"Meyer, Mr. Edgar Joseph",male,28.0,1.0,0.0,PC 17604
0.0,,S,,0,3.0,"Leonard, Mr. Lionel",male,36.0,0.0,0.0,LINE
7.925,,S,,0,3.0,"Sivola, Mr. Antti Wilhelm",male,21.0,0.0,0.0,STON/O 2. 3101280
7.8958,,S,,0,3.0,"Sdycoff, Mr. Todor",male,,0.0,0.0,349222
12.35,,Q,,0,2.0,"Lingane, Mr. John",male,61.0,0.0,0.0,235509
38.5,E63,S,"St Anne's-on-Sea, Lancashire",0,1.0,"Gee, Mr. Arthur H",male,47.0,0.0,0.0,111320
16.1,,S,,1,3.0,"Thorneycroft, Mrs. Percival (Florence Kate White)",female,,1.0,0.0,376564
52.5542,D19,S,"Boston, MA",1,1.0,"Kimball, Mr. Edwin Nelson Jr",male,42.0,1.0,0.0,11753
7.925,,S,,1,3.0,"Heikkinen, Miss. Laina",female,26.0,0.0,0.0,STON/O2. 3101282
262.375,B61,C,,1,1.0,"Chaudanson, Miss. Victorine",female,36.0,0.0,0.0,PC 17608
14.4542,,C,,0,3.0,"Zabour, Miss. Thamine",female,,1.0,0.0,2665
9.8375,,S,,0,3.0,"Strandberg, Miss. Ida Sofia",female,22.0,0.0,0.0,7553
7.775,,S,"Sweden Joliet, IL",0,3.0,"Aronsson, Mr. Ernst Axel Algot",male,24.0,0.0,0.0,349911
17.8,,S,"Altdorf, Switzerland",0,3.0,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",female,18.0,1.0,0.0,349237
12.475,,S,"Union Hill, NJ",1,3.0,"Dowdell, Miss. Elizabeth",female,30.0,0.0,0.0,364516
55.4417,C116,C,"Newark, NJ",1,1.0,"Stengel, Mr. Charles Emil Henry",male,54.0,1.0,0.0,11778
78.85,,S,,1,1.0,"Barber, Miss. Ellen ""Nellie""",female,26.0,0.0,0.0,19877
26.0,,C,"San Francisco, CA",0,1.0,"Birnbaum, Mr. Jakob",male,25.0,0.0,0.0,13905
7.75,,Q,,0,3.0,"Shaughnessy, Mr. Patrick",male,,0.0,0.0,370374
7.75,,Q,,0,3.0,"Fleming, Miss. Honora",female,,0.0,0.0,364859
31.0,,S,,0,1.0,"Cairns, Mr. Alexander",male,,0.0,0.0,113798
8.05,,S,,0,3.0,"Thomson, Mr. Alexander Morrison",male,,0.0,0.0,32302
29.0,,S,"Bangkok, Thailand / Roseville, IL",1,2.0,"Caldwell, Mrs. Albert Francis (Sylvia Mae Harbaugh)",female,22.0,1.0,1.0,248738
28.7125,C49,C,"Paris, France New York, NY",0,1.0,"Isham, Miss. Ann Elizabeth",female,50.0,0.0,0.0,PC 17595
8.6625,,S,,0,3.0,"Wirz, Mr. Albert",male,27.0,0.0,0.0,315154
34.375,,S,"Rotherfield, Sussex, England Essex Co, MA",0,3.0,"Ford, Miss. Robina Maggie ""Ruby""",female,9.0,2.0,2.0,W./C. 6608
15.5,,Q,,1,3.0,"Murphy, Miss. Katherine ""Kate""",female,,1.0,0.0,367230
7.8542,,S,,0,3.0,"Hansen, Mr. Henrik Juul",male,26.0,1.0,0.0,350025
6.4375,,C,,0,3.0,"Thomas, Mr. Charles P",male,,1.0,0.0,2621
8.6542,,S,,0,3.0,"Johansson, Mr. Gustaf Joel",male,33.0,0.0,0.0,7540
36.75,,S,"St Ives, Cornwall / Hancock, MI",1,2.0,"Davies, Mrs. John Morgan (Elizabeth Agnes Mary White) ",female,48.0,0.0,2.0,C.A. 33112
28.5375,C53,C,"Albany, NY",1,1.0,"Tucker, Mr. Gilbert Milligan Jr",male,31.0,0.0,0.0,2543
7.25,,Q,"Co Limerick, Ireland Sherbrooke, PQ",0,3.0,"Colbert, Mr. Patrick",male,24.0,0.0,0.0,371109
7.8958,,S,,0,3.0,"Nenkoff, Mr. Christo",male,,0.0,0.0,349234
7.8958,,S,,0,3.0,"Petroff, Mr. Nedelio",male,19.0,0.0,0.0,349212
15.0458,,C,"Paris / Montreal, PQ",0,2.0,"Richard, Mr. Emile",male,23.0,0.0,0.0,SC/PARIS 2133
7.8958,,S,,0,3.0,"Sivic, Mr. Husein",male,40.0,0.0,0.0,349251
26.55,,S,"Halifax, NS",0,1.0,"Wright, Mr. George",male,62.0,0.0,0.0,113807
15.85,,S,"Ruotsinphytaa, Finland New York, NY",1,3.0,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",female,33.0,3.0,0.0,3101278
7.575,,S,,0,3.0,"Sadowitz, Mr. Harry",male,,0.0,0.0,LP 1588
8.05,,S,"Broomfield, Chelmsford, England",0,3.0,"Brocklebank, Mr. William Alfred",male,35.0,0.0,0.0,364512
7.8958,,S,,0,3.0,"Minkoff, Mr. Lazar",male,21.0,0.0,0.0,349211
83.475,C83,S,"New York, NY",0,1.0,"Harris, Mr. Henry Birkhardt",male,45.0,1.0,0.0,36973
7.8958,,S,Austria,0,3.0,"Cor, Mr. Liudevit",male,19.0,0.0,0.0,349231
7.8792,,Q,"Kilmacowen, Co Sligo, Ireland New York, NY",1,3.0,"Devaney, Miss. Margaret Delia",female,19.0,0.0,0.0,330958
29.125,,Q,,0,3.0,"Rice, Master. Eugene",male,2.0,4.0,1.0,382652
15.5,,Q,,1,3.0,"Murphy, Miss. Margaret Jane",female,,1.0,0.0,367230
79.2,B82 B84,C,"New York, NY",0,1.0,"Guggenheim, Mr. Benjamin",male,46.0,0.0,0.0,PC 17593
7.2292,,C,"Greensburg, PA",1,3.0,"Abrahim, Mrs. Joseph (Sophie Halaut Easu)",female,18.0,0.0,0.0,2657
7.8958,,C,,0,3.0,"Matinoff, Mr. Nicola",male,,0.0,0.0,349255
7.25,,S,,0,3.0,"Dennis, Mr. William",male,36.0,0.0,0.0,A/5 21175
8.6625,,S,Austria-Hungary,0,3.0,"Culumovic, Mr. Jeso",male,17.0,0.0,0.0,315090
56.4958,,S,,1,3.0,"Lang, Mr. Fang",male,26.0,0.0,0.0,1601
7.7958,,S,"Dagsas, Sweden Fower, MN",0,3.0,"Carlsson, Mr. August Sigfrid",male,28.0,0.0,0.0,350042
15.2458,,C,,1,3.0,"Moubarek, Master. Halim Gonios (""William George"")",male,,1.0,1.0,2661
7.8542,,S,"Medeltorp, Sweden Chicago, IL",0,3.0,"Braf, Miss. Elin Ester Maria",female,20.0,0.0,0.0,347471
7.8542,,S,,1,3.0,"Nilsson, Miss. Helmina Josefina",female,26.0,0.0,0.0,347470
7.225,,C,"Ottawa, ON",0,3.0,"Attalah, Mr. Sleiman",male,30.0,0.0,0.0,2694
7.75,,Q,,1,3.0,"O'Driscoll, Miss. Bridget",female,,0.0,0.0,14311
7.2292,,C,,0,3.0,"Kassem, Mr. Fared",male,,0.0,0.0,2700
13.9,,S,"West Haven, CT",0,3.0,"Dyker, Mr. Adolf Fredrik",male,23.0,1.0,0.0,347072
13.0,,S,"Harrow-on-the-Hill, Middlesex",0,2.0,"Meyer, Mr. August",male,39.0,0.0,0.0,248723
71.2833,C85,C,"New York, NY",0,1.0,"Cumings, Mr. John Bradley",male,39.0,1.0,0.0,PC 17599
14.4542,,C,Greece,0,3.0,"Chronopoulos, Mr. Apostolos",male,26.0,1.0,0.0,2680
7.8792,,Q,"Ireland Chicago, IL",0,3.0,"Foley, Mr. Joseph",male,26.0,0.0,0.0,330910
8.05,,S,,0,3.0,"Meanwell, Miss. (Marion Ogden)",female,,0.0,0.0,SOTON/O.Q. 392087
29.125,,Q,,0,3.0,"Rice, Mrs. William (Margaret Norton)",female,39.0,0.0,5.0,382652
8.4583,,Q,,0,3.0,"Moran, Mr. James",male,,0.0,0.0,330877
8.05,,S,"London New York, NY",1,3.0,"Drapkin, Miss. Jennie",female,23.0,0.0,0.0,SOTON/OQ 392083
24.15,,S,,0,3.0,"Lester, Mr. James",male,39.0,0.0,0.0,A/4 48871
32.5,,S,"Greenport, NY",1,2.0,"Drew, Mrs. James Vivian (Lulu Thorne Christian)",female,34.0,1.0,1.0,28220
7.0,,S,,1,3.0,"Wilkes, Mrs. James (Ellen Needs)",female,47.0,1.0,0.0,363272
7.75,,Q,,0,3.0,"Naughton, Miss. Hannah",female,,0.0,0.0,365237
55.0,E33,S,"St Leonards-on-Sea, England Ohio",1,1.0,"Chibnall, Mrs. (Edith Martha Bowerman)",female,,0.0,1.0,113505
81.8583,A34,S,"San Francisco, CA",1,1.0,"Dodge, Master. Washington",male,4.0,0.0,2.0,33638
8.6625,,S,Croatia,0,3.0,"Cacic, Mr. Luka",male,38.0,0.0,0.0,315089
39.6875,,S,,0,3.0,"Riihivouri, Miss. Susanna Juhantytar ""Sanni""",female,22.0,0.0,0.0,3101295
8.05,,S,,0,3.0,"Murdlin, Mr. Joseph",male,,0.0,0.0,A./5. 3235
134.5,E34,C,"Tuxedo Park, NY",1,1.0,"Spedden, Master. Robert Douglas",male,6.0,0.0,2.0,16966
13.0,D56,S,London,1,2.0,"Beesley, Mr. Lawrence",male,34.0,0.0,0.0,248698
22.025,,S,,1,3.0,"Kink-Heilmann, Miss. Luise Gretchen",female,4.0,0.0,2.0,315153
7.8958,,S,,0,3.0,"Rekic, Mr. Tido",male,38.0,0.0,0.0,349249
8.6625,,S,,0,3.0,"Pasic, Mr. Jakob",male,21.0,0.0,0.0,315097
51.8625,E46,S,"Brighton, MA",0,1.0,"Hilliard, Mr. Herbert Henry",male,,0.0,0.0,17463
6.4958,,S,,0,3.0,"Wiklund, Mr. Jakob Alfred",male,18.0,1.0,0.0,3101267
10.5,E77,S,"Southampton / New York, NY",0,2.0,"Mack, Mrs. (Mary)",female,57.0,0.0,0.0,S.O./P.P. 3
135.6333,C99,S,,1,1.0,"Bissette, Miss. Amelia",female,35.0,0.0,0.0,PC 17760
15.55,,S,,0,3.0,"Lindell, Mr. Edvard Bengtsson",male,36.0,1.0,0.0,349910
16.1,,S,,0,3.0,"Thorneycroft, Mr. Percival",male,,1.0,0.0,376564
21.0,,S,"Ilfracombe, Devon",1,2.0,"Phillips, Miss. Alice Frances Louisa",female,21.0,0.0,1.0,S.O./P.P. 2
7.25,,S,,0,3.0,"Harmer, Mr. Abraham (David Lishin)",male,25.0,0.0,0.0,374887
18.75,,S,"Cornwall / Akron, OH",1,2.0,"Richards, Master. William Rowe",male,3.0,1.0,1.0,29106
12.35,,Q,,0,2.0,"Keane, Mr. Daniel",male,35.0,0.0,0.0,233734
8.05,,S,,0,3.0,"Sawyer, Mr. Frederick Charles",male,24.5,0.0,0.0,342826
13.0,,S,"Vancouver, BC",0,2.0,"Gillespie, Mr. William Henry",male,34.0,0.0,0.0,12233
7.225,,C,Syria,0,3.0,"Boulos, Mr. Hanna",male,,0.0,0.0,2664
9.35,,S,"Tranvik, Finland New York",0,3.0,"Berglund, Mr. Karl Ivar Sven",male,22.0,0.0,0.0,PP 4348
7.2292,,C,,0,3.0,"Saad, Mr. Amin",male,,0.0,0.0,2671
19.9667,,S,,0,3.0,"Hagland, Mr. Konrad Mathias Reiersen",male,,1.0,0.0,65304
8.05,,S,"Lower Clapton, Middlesex or Erdington, Birmingham",0,3.0,"Allen, Mr. William Henry",male,35.0,0.0,0.0,373450
7.75,,Q,,0,3.0,"Flynn, Mr. James",male,,0.0,0.0,364851
7.05,,S,,0,3.0,"Asim, Mr. Adola",male,35.0,0.0,0.0,SOTON/O.Q. 3101310
8.05,,S,,0,3.0,"Miles, Mr. Frank",male,,0.0,0.0,359306
25.925,,S,"New York, NY",0,1.0,"Baumann, Mr. John D",male,,0.0,0.0,PC 17318
512.3292,,C,,1,1.0,"Ward, Miss. Anna",female,35.0,0.0,0.0,PC 17755
7.25,,S,"St Denys, Southampton, Hants",0,3.0,"Carver, Mr. Alfred John",male,28.0,0.0,0.0,392095
30.5,B50,C,"Basel, Switzerland",1,1.0,"Stahelin-Maeglin, Dr. Max",male,32.0,0.0,0.0,13214
26.0,,S,"Holley, NY",0,2.0,"Downton, Mr. William James",male,54.0,0.0,0.0,28403
26.0,,S,"Swindon, England",0,2.0,"Howard, Mr. Benjamin",male,63.0,1.0,0.0,24065
18.0,,S,,0,3.0,"Vander Planke, Mr. Julius",male,31.0,3.0,0.0,345763
21.075,,S,,0,3.0,"Palsson, Master. Gosta Leonard",male,2.0,3.0,1.0,349909
13.5,,S,"Bronx, NY",0,2.0,"Chapman, Mr. Charles Henry",male,52.0,0.0,0.0,248731
7.05,,S,,0,3.0,"Sutehall, Mr. Henry Jr",male,25.0,0.0,0.0,SOTON/OQ 392076
7.8542,,S,,0,3.0,"Johansson, Mr. Nils",male,29.0,0.0,0.0,347467
7.925,,S,,0,3.0,"Makinen, Mr. Kalle Edvard",male,29.0,0.0,0.0,STON/O 2. 3101268
55.4417,E50,C,"Brooklyn, NY",1,1.0,"Harder, Mr. George Achilles",male,25.0,1.0,0.0,11765
39.4,D28,S,"Paris, France",1,1.0,"Lines, Miss. Mary Conover",female,16.0,0.0,1.0,PC 17592
10.5,,S,"Pondersend, England / New Durham, NJ",1,2.0,"Oxenham, Mr. Percy Thomas",male,22.0,0.0,0.0,W./C. 14260
13.0,,S,"Newark, NJ",0,2.0,"Schmidt, Mr. August",male,26.0,0.0,0.0,248659
7.8958,,S,"Bulgaria Chicago, IL",0,3.0,"Danoff, Mr. Yoto",male,27.0,0.0,0.0,349219
13.0,,S,,0,2.0,"Troupiansky, Mr. Moses Aaron",male,23.0,0.0,0.0,233639
7.75,,Q,,0,3.0,"Connors, Mr. Patrick",male,70.5,0.0,0.0,370369
13.8583,,C,"Barcelona, Spain / Havana, Cuba",1,2.0,"Duran y More, Miss. Asuncion",female,27.0,1.0,0.0,SC/PARIS 2149
26.55,,S,"Los Angeles, CA",1,1.0,"Bradley, Mr. George (""George Arthur Brayton"")",male,,0.0,0.0,111427
31.6792,A29,C,"New York, NY",0,1.0,"Evans, Miss. Edith Corse",female,36.0,0.0,0.0,PC 17531
7.775,,S,,0,3.0,"Johansson, Mr. Karl Johan",male,31.0,0.0,0.0,347063
14.1083,,S,,0,3.0,"Hansen, Mr. Claus Peter",male,41.0,2.0,0.0,350026
14.5,,S,,0,3.0,"van Billiard, Mr. Austin Blyler",male,40.5,0.0,2.0,A/5. 851
7.4958,,S,"Bulgaria Chicago, IL",0,3.0,"Coleff, Mr. Peju",male,36.0,0.0,0.0,349210
83.1583,E45,C,"Lakewood, NJ",1,1.0,"Compton, Mrs. Alexander Taylor (Mary Eliza Ingersoll)",female,64.0,0.0,2.0,PC 17756
8.05,,S,,0,3.0,"Ware, Mr. Frederick",male,,0.0,0.0,359309
19.2583,,C,"Syria New York, NY",1,3.0,"Baclini, Miss. Eugenie",female,0.75,2.0,1.0,2666
8.05,,S,,0,3.0,"Christmann, Mr. Emil",male,29.0,0.0,0.0,343276
9.475,,S,"Sweden Akeley, MN",0,3.0,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",female,40.0,1.0,0.0,7546
133.65,,S,"New York, NY",1,1.0,"Frauenthal, Dr. Henry William",male,50.0,2.0,0.0,PC 17611
10.5,,S,"Chelsea, London",1,2.0,"Mellors, Mr. William John",male,19.0,0.0,0.0,SW/PP 751
7.25,,S,,0,3.0,"Reed, Mr. James George",male,,0.0,0.0,362316
29.125,,Q,,0,3.0,"Rice, Master. Eric",male,7.0,4.0,1.0,382652
26.25,,S,"Bishopstoke, Hants / Fayette Valley, ID",0,2.0,"Collyer, Mr. Harvey",male,31.0,1.0,1.0,C.A. 31921
29.125,,Q,,0,3.0,"Rice, Master. Arthur",male,4.0,4.0,1.0,382652
29.125,,Q,,0,3.0,"Rice, Master. Albert",male,10.0,4.0,1.0,382652
15.2458,,C,"Syria Kent, ON",0,3.0,"Boulos, Miss. Nourelain",female,9.0,1.0,1.0,2678
262.375,B57 B59 B63 B66,C,"Haverford, PA / Cooperstown, NY",0,1.0,"Ryerson, Mr. Arthur Larned",male,61.0,1.0,3.0,PC 17608
79.2,B86,C,,0,1.0,"Giglio, Mr. Victor",male,24.0,0.0,0.0,PC 17593
9.5,,S,,0,3.0,"Lievens, Mr. Rene Aime",male,24.0,0.0,0.0,345781
26.0,,S,"Rochester, NY",0,2.0,"McKane, Mr. Peter David",male,46.0,0.0,0.0,28403
79.2,B41,C,"Zurich, Switzerland",1,1.0,"Frolicher-Stehli, Mrs. Maxmillian (Margaretha Emerentia Stehli)",female,48.0,1.0,1.0,13567
13.0,,S,,1,2.0,"Smith, Miss. Marion Elsie",female,40.0,0.0,0.0,31418
7.7333,,Q,,0,3.0,"Hagardon, Miss. Kate",female,17.0,0.0,0.0,AQ/3. 30631
7.8958,,S,,0,3.0,"Stoytcheff, Mr. Ilia",male,19.0,0.0,0.0,349205
7.2292,,C,"Syria Ottawa, ON",0,3.0,"Elias, Mr. Joseph",male,39.0,0.0,2.0,2675
7.8958,,S,,0,3.0,"Laleff, Mr. Kristo",male,,0.0,0.0,349217
221.7792,C97,S,,1,1.0,"Bird, Miss. Ellen",female,29.0,0.0,0.0,PC 17483
7.775,,S,,1,3.0,"Johansson Palmquist, Mr. Oskar Leander",male,26.0,0.0,0.0,347070
17.8,,S,"Altdorf, Switzerland",0,3.0,"Arnold-Franchi, Mr. Josef",male,25.0,1.0,0.0,349237
27.7208,,C,"Stockholm, Sweden",1,1.0,"Lindstrom, Mrs. Carl Johan (Sigrid Posse)",female,55.0,0.0,0.0,112377
9.35,,S,"London, England Norfolk, VA",1,3.0,"Aks, Master. Philip Frank",male,0.8333,0.0,1.0,392091
26.55,C52,S,"Stockholm, Sweden / Washington, DC",1,1.0,"Bjornstrom-Steffansson, Mr. Mauritz Hakan",male,28.0,0.0,0.0,110564
15.2458,,C,,1,3.0,"Moubarek, Mrs. George (Omine ""Amenia"" Alexander)",female,,0.0,2.0,2661
26.25,,S,"Ilford, Essex / Winnipeg, MB",0,2.0,"Hart, Mr. Benjamin",male,43.0,1.0,1.0,F.C.C. 13529
79.2,B41,C,"Zurich, Switzerland",1,1.0,"Frolicher-Stehli, Mr. Maxmillian",male,60.0,1.0,1.0,13567
7.225,,C,,1,3.0,"Leeni, Mr. Fahim (""Philip Zenni"")",male,22.0,0.0,0.0,2620
27.0,,S,London,1,2.0,"Jacobsohn, Mrs. Sidney Samuel (Amy Frances Christy)",female,24.0,2.0,1.0,243847
7.65,F G73,S,,0,3.0,"Moen, Mr. Sigurd Hansen",male,25.0,0.0,0.0,348123
10.5,,S,"Guernsey, England / Edgewood, RI",0,2.0,"Wheadon, Mr. Edward H",male,66.0,0.0,0.0,C.A. 24579
52.0,C126,S,"London /  East Orange, NJ",1,1.0,"Taylor, Mrs. Elmer Zebley (Juliet Cummins Wright)",female,,1.0,0.0,19996
120.0,B96 B98,S,"Bryn Mawr, PA",1,1.0,"Carter, Mr. William Ernest",male,36.0,1.0,2.0,113760
7.8958,,S,,0,3.0,"Staneff, Mr. Ivan",male,,0.0,0.0,349208
32.5,,S,"Greenport, NY",1,2.0,"Drew, Master. Marshall Brines",male,8.0,0.0,2.0,28220
7.75,,Q,Ireland,1,3.0,"Connolly, Miss. Kate",female,22.0,0.0,0.0,370373
12.875,D,C,"Montreal, PQ",0,2.0,"Levy, Mr. Rene Jacques",male,36.0,0.0,0.0,SC/Paris 2163
7.75,,Q,,1,3.0,"Kennedy, Mr. John",male,,0.0,0.0,368783
7.25,,S,,0,3.0,"Dennis, Mr. Samuel",male,22.0,0.0,0.0,A/5 21172
16.0,,S,"India / Rapid City, SD",1,2.0,"Hewlett, Mrs. (Mary D Kingcome) ",female,55.0,0.0,0.0,248706
9.0,,S,,0,3.0,"Vander Cruyssen, Mr. Victor",male,47.0,0.0,0.0,345765
30.0,,S,London,1,2.0,"Christy, Miss. Julie Rachel",female,25.0,1.0,1.0,237789
7.8875,,S,,1,3.0,"Hyman, Mr. Abraham",male,,0.0,0.0,3470
8.0292,,Q,,1,3.0,"McGowan, Miss. Anna ""Annie""",female,15.0,0.0,0.0,330923
7.775,,S,"Karberg, Sweden Jerome Junction, AZ",0,3.0,"Eklund, Mr. Hans Linus",male,16.0,0.0,0.0,347074
7.75,,Q,,0,3.0,"McNeill, Miss. Bridget",female,,0.0,0.0,370368
73.5,,S,,0,2.0,"Deacon, Mr. Percy William",male,17.0,0.0,0.0,S.O.C. 14879
